1,'sdccu_stadium.jpg','SDCCU Stadium',32.78,-117.12
2,'petco_park.jpg','Petco Park',32.7,-117.15
3,'pechanga_arena.jpg','Pechanga Arena',32.75,-117.21
4,'tony_gwynn_stadium.jpg','Tony Gwynn Stadium',32.77,-117.07
